Dog_ID,Fur_Quality,Eye_Condition,Ear_Condition,Energy_Level,Appetite,Weight_Change,Gender
Dog_31,Smooth,Redness,Smelly,Low,Decreased,Losing,Male
Dog_32,Smooth,Redness,Clean,Low,Normal,Stable,Female
Dog_33,Shedding,Cloudy,Smelly,Low,Increased,Stable,Male
Dog_34,Shiny,Clear,Clean,Normal,Increased,Stable,Female
Dog_35,Shiny,Cloudy,Clean,Normal,Normal,Stable,Female
Dog_36,Smooth,Cloudy,Inflamed,Normal,Increased,Stable,Male
Dog_37,Shedding,Cloudy,Smelly,Normal,Increased,Losing,Male
Dog_38,Smooth,Cloudy,Inflamed,High,Normal,Gaining,Male
Dog_39,Smooth,Clear,Clean,Low,Decreased,Losing,Female
Dog_40,Coarse,Cloudy,Inflamed,High,Decreased,Gaining,Male
Dog_41,Coarse,Clear,Clean,High,Decreased,Stable,Female
Dog_42,Coarse,Cloudy,Clean,Normal,Normal,Losing,Male
Dog_43,Shiny,Redness,Clean,High,Decreased,Gaining,Female
Dog_44,Shedding,Clear,Smelly,Normal,Decreased,Gaining,Male
Dog_45,Shedding,Redness,Smelly,Low,Increased,Stable,Female
Dog_46,Shedding,Cloudy,Smelly,Normal,Decreased,Stable,Male
Dog_47,Shedding,Cloudy,Inflamed,Low,Normal,Gaining,Female
Dog_48,Coarse,Cloudy,Clean,Normal,Decreased,Losing,Male
Dog_49,Shiny,Clear,Inflamed,High,Increased,Gaining,Male
Dog_50,Shiny,Redness,Inflamed,High,Increased,Losing,Male
Dog_51,Coarse,Clear,Clean,Normal,Increased,Losing,Male
Dog_52,Shiny,Clear,Inflamed,Low,Increased,Gaining,Female
Dog_53,Coarse,Cloudy,Clean,Low,Decreased,Losing,Male
Dog_54,Shedding,Redness,Clean,Normal,Increased,Gaining,Female
Dog_55,Coarse,Cloudy,Clean,High,Increased,Gaining,Male
Dog_56,Shedding,Clear,Clean,Low,Increased,Stable,Male
Dog_57,Shedding,Cloudy,Inflamed,Normal,Decreased,Gaining,Male
Dog_58,Smooth,Redness,Inflamed,Low,Normal,Gaining,Male
Dog_59,Coarse,Cloudy,Inflamed,High,Increased,Stable,Female
Dog_60,Smooth,Redness,Smelly,Low,Increased,Stable,Female
Dog_61,Coarse,Redness,Inflamed,Normal,Increased,Losing,Male
Dog_62,Coarse,Cloudy,Inflamed,Low,Decreased,Losing,Female
Dog_63,Smooth,Clear,Smelly,Low,Decreased,Stable,Female
Dog_64,Smooth,Cloudy,Clean,High,Increased,Stable,Male
Dog_65,Coarse,Clear,Clean,High,Normal,Stable,Male
Dog_66,Shiny,Clear,Clean,High,Increased,Gaining,Female
Dog_67,Shedding,Cloudy,Smelly,High,Normal,Gaining,Female
Dog_68,Smooth,Clear,Inflamed,Normal,Normal,Gaining,Male
Dog_69,Shedding,Clear,Inflamed,Low,Decreased,Stable,Male
Dog_70,Shiny,Cloudy,Inflamed,Low,Decreased,Losing,Male
Dog_71,Shiny,Cloudy,Inflamed,Low,Decreased,Losing,Male
Dog_72,Shiny,Cloudy,Smelly,Low,Normal,Gaining,Male
Dog_73,Smooth,Clear,Inflamed,Normal,Normal,Gaining,Male
Dog_74,Shiny,Redness,Clean,High,Normal,Stable,Male
Dog_75,Smooth,Clear,Smelly,Low,Decreased,Stable,Male
Dog_76,Shiny,Redness,Smelly,Low,Decreased,Losing,Male
Dog_77,Shedding,Cloudy,Clean,High,Decreased,Losing,Male
Dog_78,Shedding,Redness,Clean,High,Increased,Stable,Female
Dog_79,Coarse,Cloudy,Inflamed,Low,Normal,Losing,Female
Dog_80,Shedding,Cloudy,Clean,High,Normal,Losing,Female
Dog_81,Coarse,Redness,Smelly,Low,Increased,Gaining,Male
Dog_82,Shedding,Cloudy,Smelly,Low,Normal,Stable,Female
Dog_83,Smooth,Redness,Smelly,Low,Normal,Stable,Male
Dog_84,Shedding,Cloudy,Inflamed,Low,Increased,Stable,Male
Dog_85,Coarse,Clear,Inflamed,Low,Normal,Gaining,Male
Dog_86,Coarse,Clear,Clean,Low,Decreased,Stable,Female
Dog_87,Shiny,Cloudy,Inflamed,High,Increased,Losing,Male
Dog_88,Smooth,Cloudy,Inflamed,Normal,Normal,Gaining,Male
Dog_89,Shedding,Redness,Smelly,Normal,Decreased,Gaining,Female
Dog_90,Shiny,Clear,Smelly,Low,Normal,Stable,Male
Dog_91,Shedding,Redness,Clean,High,Increased,Losing,Female
Dog_92,Shedding,Cloudy,Smelly,Low,Decreased,Stable,Female
Dog_93,Shiny,Cloudy,Inflamed,High,Normal,Losing,Male
Dog_94,Shiny,Redness,Clean,Low,Increased,Stable,Female
Dog_95,Shiny,Cloudy,Clean,Low,Normal,Losing,Female
Dog_96,Shiny,Clear,Smelly,Normal,Normal,Losing,Male
Dog_97,Shiny,Redness,Smelly,High,Decreased,Losing,Male
Dog_98,Shedding,Clear,Smelly,High,Normal,Gaining,Male
Dog_99,Shiny,Clear,Clean,Normal,Increased,Stable,Male
Dog_100,Smooth,Clear,Smelly,Normal,Increased,Stable,Female
Dog_101,Coarse,Redness,Inflamed,Normal,Decreased,Stable,Male
Dog_102,Shiny,Cloudy,Clean,Normal,Decreased,Gaining,Female
Dog_103,Shiny,Clear,Smelly,High,Normal,Losing,Male
Dog_104,Shedding,Clear,Inflamed,High,Increased,Gaining,Female
Dog_105,Shiny,Clear,Inflamed,Normal,Decreased,Gaining,Male
Dog_106,Shiny,Cloudy,Smelly,Low,Normal,Losing,Female
Dog_107,Shiny,Cloudy,Inflamed,Low,Normal,Stable,Male
Dog_108,Shedding,Redness,Clean,Low,Increased,Gaining,Female
Dog_109,Shiny,Cloudy,Clean,Low,Increased,Losing,Male
Dog_110,Coarse,Redness,Inflamed,High,Normal,Losing,Female
Dog_111,Shedding,Redness,Clean,High,Increased,Stable,Male
Dog_112,Coarse,Redness,Smelly,High,Normal,Losing,Male
Dog_113,Shedding,Redness,Inflamed,Low,Normal,Losing,Male
Dog_114,Shiny,Redness,Clean,Normal,Increased,Losing,Male
Dog_115,Coarse,Clear,Smelly,Low,Decreased,Stable,Male
Dog_116,Shedding,Cloudy,Smelly,High,Normal,Stable,Female
Dog_117,Smooth,Clear,Clean,Low,Increased,Losing,Female
Dog_118,Shiny,Redness,Inflamed,Normal,Normal,Losing,Female
Dog_119,Shedding,Cloudy,Smelly,Normal,Normal,Stable,Male
Dog_120,Smooth,Clear,Smelly,Low,Normal,Stable,Male
Dog_121,Shedding,Clear,Smelly,High,Increased,Stable,Female
Dog_122,Smooth,Redness,Smelly,High,Increased,Gaining,Male
Dog_123,Shiny,Clear,Inflamed,High,Increased,Stable,Female
Dog_124,Coarse,Clear,Clean,Low,Decreased,Losing,Male
Dog_125,Smooth,Clear,Clean,High,Normal,Stable,Female
Dog_126,Shedding,Clear,Clean,Low,Decreased,Losing,Female
Dog_127,Shiny,Clear,Smelly,High,Normal,Losing,Female
Dog_128,Smooth,Redness,Inflamed,Normal,Increased,Losing,Male
Dog_129,Shedding,Redness,Clean,Normal,Normal,Stable,Female
Dog_130,Shedding,Clear,Inflamed,High,Normal,Stable,Female
Dog_131,Shedding,Redness,Clean,Low,Normal,Stable,Male
Dog_132,Smooth,Redness,Smelly,High,Decreased,Stable,Male
Dog_133,Smooth,Cloudy,Clean,Low,Increased,Stable,Male
Dog_134,Smooth,Clear,Smelly,Normal,Increased,Gaining,Female
Dog_135,Coarse,Redness,Smelly,Low,Normal,Stable,Male
Dog_136,Smooth,Redness,Clean,High,Increased,Gaining,Male
Dog_137,Smooth,Clear,Inflamed,Normal,Decreased,Losing,Male
Dog_138,Smooth,Cloudy,Smelly,Low,Decreased,Losing,Male
Dog_139,Coarse,Clear,Inflamed,Low,Increased,Losing,Male
Dog_140,Smooth,Cloudy,Clean,Normal,Decreased,Losing,Female
Dog_141,Shedding,Clear,Smelly,High,Decreased,Gaining,Female
Dog_142,Smooth,Clear,Inflamed,Normal,Increased,Gaining,Male
Dog_143,Shedding,Clear,Smelly,High,Increased,Losing,Male
Dog_144,Shedding,Clear,Clean,High,Normal,Stable,Male
Dog_145,Shedding,Cloudy,Smelly,Low,Normal,Losing,Female
Dog_146,Coarse,Cloudy,Clean,High,Decreased,Losing,Female
Dog_147,Coarse,Redness,Inflamed,High,Increased,Gaining,Female
Dog_148,Coarse,Clear,Smelly,Normal,Decreased,Losing,Male
Dog_149,Smooth,Cloudy,Inflamed,Normal,Increased,Gaining,Female
Dog_150,Shedding,Cloudy,Clean,High,Decreased,Gaining,Female
Dog_151,Coarse,Cloudy,Clean,Low,Decreased,Losing,Female
Dog_152,Coarse,Clear,Inflamed,Normal,Decreased,Stable,Male
Dog_153,Smooth,Redness,Inflamed,Low,Normal,Gaining,Female
Dog_154,Coarse,Cloudy,Clean,Normal,Increased,Gaining,Female
Dog_155,Smooth,Clear,Inflamed,Normal,Decreased,Gaining,Female
Dog_156,Shiny,Cloudy,Clean,High,Normal,Losing,Male
Dog_157,Coarse,Cloudy,Inflamed,Normal,Decreased,Losing,Female
Dog_158,Shiny,Redness,Clean,Normal,Decreased,Gaining,Male
Dog_159,Smooth,Cloudy,Clean,Low,Increased,Stable,Male
Dog_160,Shedding,Cloudy,Smelly,Normal,Decreased,Losing,Female
Dog_161,Coarse,Clear,Clean,Normal,Increased,Stable,Male
Dog_162,Smooth,Clear,Clean,Low,Normal,Stable,Female
Dog_163,Shedding,Redness,Smelly,High,Normal,Losing,Female
Dog_164,Shedding,Clear,Smelly,High,Decreased,Gaining,Male
Dog_165,Shiny,Clear,Inflamed,Normal,Normal,Stable,Female
Dog_166,Smooth,Redness,Inflamed,Normal,Increased,Gaining,Female
Dog_167,Shedding,Cloudy,Clean,Low,Increased,Stable,Female
Dog_168,Coarse,Redness,Inflamed,High,Normal,Gaining,Male
Dog_169,Coarse,Clear,Inflamed,High,Increased,Losing,Male
Dog_170,Shiny,Redness,Clean,High,Increased,Stable,Male
Dog_171,Shedding,Cloudy,Smelly,Low,Decreased,Stable,Female
Dog_172,Smooth,Redness,Smelly,Low,Decreased,Stable,Female
Dog_173,Coarse,Clear,Clean,Low,Increased,Gaining,Male
Dog_174,Shedding,Clear,Clean,Normal,Normal,Stable,Male
Dog_175,Shedding,Redness,Clean,High,Increased,Stable,Female
Dog_176,Shiny,Cloudy,Clean,Normal,Decreased,Gaining,Male
Dog_177,Coarse,Redness,Clean,Normal,Normal,Gaining,Female
Dog_178,Coarse,Cloudy,Clean,Low,Increased,Losing,Male
Dog_179,Smooth,Cloudy,Inflamed,High,Normal,Gaining,Female
Dog_180,Coarse,Redness,Inflamed,Normal,Normal,Stable,Female
Dog_181,Smooth,Cloudy,Inflamed,High,Normal,Stable,Female
Dog_182,Coarse,Clear,Smelly,Normal,Increased,Losing,Male
Dog_183,Shiny,Redness,Clean,Low,Decreased,Losing,Female
Dog_184,Coarse,Cloudy,Clean,Normal,Normal,Stable,Male
Dog_185,Smooth,Clear,Inflamed,Low,Normal,Gaining,Female
Dog_186,Smooth,Redness,Smelly,High,Increased,Stable,Female
Dog_187,Shiny,Clear,Inflamed,Normal,Decreased,Losing,Female
Dog_188,Coarse,Clear,Clean,Normal,Decreased,Stable,Male
Dog_189,Coarse,Clear,Clean,Low,Increased,Stable,Female
Dog_190,Shiny,Cloudy,Inflamed,Low,Normal,Stable,Male
Dog_191,Coarse,Redness,Inflamed,High,Increased,Losing,Female
Dog_192,Coarse,Redness,Clean,Low,Decreased,Losing,Female
Dog_193,Smooth,Cloudy,Inflamed,High,Normal,Losing,Male
Dog_194,Coarse,Redness,Clean,Normal,Normal,Gaining,Male
Dog_195,Coarse,Clear,Inflamed,High,Decreased,Losing,Female
Dog_196,Shiny,Redness,Smelly,High,Normal,Gaining,Male
Dog_197,Shiny,Cloudy,Clean,High,Increased,Gaining,Female
Dog_198,Shedding,Clear,Smelly,Normal,Decreased,Losing,Male
Dog_199,Smooth,Cloudy,Inflamed,Normal,Decreased,Gaining,Female
Dog_200,Coarse,Clear,Smelly,Low,Normal,Gaining,Male
Dog_201,Coarse,Clear,Inflamed,High,Decreased,Stable,Male
Dog_202,Shedding,Redness,Smelly,Normal,Increased,Gaining,Male
Dog_203,Coarse,Clear,Smelly,High,Decreased,Gaining,Male
Dog_204,Smooth,Cloudy,Smelly,High,Normal,Losing,Female
Dog_205,Shedding,Redness,Clean,High,Decreased,Stable,Male
Dog_206,Smooth,Cloudy,Smelly,Normal,Normal,Gaining,Male
Dog_207,Shedding,Clear,Inflamed,High,Normal,Gaining,Male
Dog_208,Shedding,Cloudy,Inflamed,High,Increased,Gaining,Female
Dog_209,Shiny,Cloudy,Clean,Low,Decreased,Losing,Female
Dog_210,Smooth,Clear,Clean,High,Increased,Losing,Male
Dog_211,Coarse,Redness,Inflamed,Low,Increased,Stable,Female
Dog_212,Coarse,Cloudy,Smelly,High,Decreased,Gaining,Female
Dog_213,Smooth,Clear,Inflamed,Low,Increased,Stable,Male
Dog_214,Coarse,Redness,Clean,Normal,Increased,Losing,Female
Dog_215,Coarse,Redness,Clean,Normal,Normal,Gaining,Male
Dog_216,Smooth,Redness,Inflamed,High,Increased,Gaining,Male
Dog_217,Shedding,Cloudy,Smelly,Low,Decreased,Stable,Female
Dog_218,Smooth,Cloudy,Smelly,Normal,Normal,Gaining,Female
Dog_219,Shedding,Cloudy,Clean,High,Increased,Losing,Male
Dog_220,Coarse,Redness,Inflamed,High,Increased,Stable,Male
Dog_221,Coarse,Cloudy,Inflamed,Low,Decreased,Stable,Male
Dog_222,Coarse,Clear,Clean,Low,Increased,Gaining,Female
Dog_223,Shiny,Cloudy,Inflamed,High,Decreased,Losing,Female
Dog_224,Shedding,Cloudy,Clean,Low,Increased,Gaining,Female
Dog_225,Shiny,Redness,Smelly,Low,Increased,Stable,Female
Dog_226,Shiny,Cloudy,Smelly,Normal,Decreased,Stable,Male
Dog_227,Smooth,Clear,Inflamed,Low,Normal,Losing,Female
Dog_228,Shiny,Redness,Smelly,High,Decreased,Stable,Female
Dog_229,Smooth,Clear,Smelly,Low,Normal,Losing,Female
Dog_230,Smooth,Redness,Clean,High,Normal,Gaining,Male
Dog_231,Shiny,Redness,Clean,High,Decreased,Losing,Female
Dog_232,Shedding,Cloudy,Inflamed,Low,Decreased,Gaining,Male
Dog_233,Shedding,Clear,Clean,Low,Increased,Gaining,Female
Dog_234,Shedding,Redness,Inflamed,Low,Increased,Stable,Male
Dog_235,Shedding,Cloudy,Inflamed,Normal,Normal,Gaining,Male
Dog_236,Shedding,Redness,Clean,Normal,Increased,Stable,Male
Dog_237,Shiny,Redness,Smelly,Low,Decreased,Losing,Male
Dog_238,Shiny,Redness,Smelly,High,Normal,Losing,Female
Dog_239,Coarse,Redness,Smelly,Low,Increased,Gaining,Female
Dog_240,Shedding,Redness,Smelly,Normal,Increased,Losing,Female
Dog_241,Shiny,Redness,Inflamed,Normal,Decreased,Gaining,Male
Dog_242,Coarse,Cloudy,Smelly,Low,Decreased,Losing,Male
Dog_243,Shedding,Redness,Inflamed,High,Increased,Gaining,Male
Dog_244,Smooth,Clear,Clean,High,Normal,Gaining,Male
Dog_245,Coarse,Cloudy,Clean,Normal,Normal,Losing,Female
Dog_246,Shiny,Clear,Inflamed,Normal,Decreased,Losing,Female
Dog_247,Smooth,Redness,Smelly,Normal,Decreased,Losing,Male
Dog_248,Smooth,Clear,Inflamed,High,Decreased,Losing,Female
Dog_249,Smooth,Redness,Smelly,Normal,Increased,Gaining,Male
Dog_250,Coarse,Redness,Smelly,Normal,Increased,Gaining,Female
Dog_251,Shiny,Cloudy,Inflamed,High,Decreased,Losing,Female
Dog_252,Smooth,Cloudy,Inflamed,Normal,Normal,Losing,Male
Dog_253,Shedding,Redness,Smelly,Normal,Decreased,Stable,Female
Dog_254,Smooth,Cloudy,Inflamed,Low,Decreased,Gaining,Male
Dog_255,Smooth,Clear,Smelly,Normal,Normal,Gaining,Female
Dog_256,Coarse,Cloudy,Inflamed,Low,Normal,Losing,Male
Dog_257,Coarse,Cloudy,Clean,Normal,Normal,Stable,Male
Dog_258,Shiny,Clear,Smelly,Normal,Normal,Losing,Male
Dog_259,Shedding,Cloudy,Clean,Low,Increased,Gaining,Female
Dog_260,Coarse,Redness,Inflamed,Normal,Increased,Gaining,Female
Dog_261,Smooth,Clear,Clean,Low,Decreased,Stable,Male
Dog_262,Shiny,Redness,Inflamed,Normal,Increased,Losing,Male
Dog_263,Smooth,Clear,Smelly,Low,Decreased,Stable,Female
Dog_264,Smooth,Redness,Inflamed,Low,Decreased,Losing,Male
Dog_265,Coarse,Redness,Inflamed,Normal,Normal,Stable,Male
Dog_266,Shiny,Cloudy,Smelly,Normal,Normal,Losing,Female
Dog_267,Shedding,Redness,Inflamed,Low,Increased,Losing,Male
Dog_268,Shedding,Cloudy,Smelly,High,Increased,Losing,Male
Dog_269,Coarse,Clear,Inflamed,Normal,Increased,Gaining,Male
Dog_270,Coarse,Redness,Smelly,Normal,Increased,Losing,Female
Dog_271,Shiny,Redness,Clean,High,Normal,Gaining,Female
Dog_272,Shedding,Clear,Inflamed,High,Normal,Stable,Male
Dog_273,Shedding,Clear,Inflamed,Low,Increased,Losing,Male
Dog_274,Shedding,Redness,Inflamed,Normal,Decreased,Gaining,Female
Dog_275,Smooth,Clear,Smelly,Low,Normal,Stable,Male
Dog_276,Shedding,Cloudy,Inflamed,Normal,Normal,Losing,Male
Dog_277,Smooth,Clear,Smelly,High,Normal,Stable,Male
Dog_278,Shiny,Clear,Inflamed,Low,Normal,Gaining,Female
Dog_279,Smooth,Redness,Clean,Normal,Increased,Gaining,Female
Dog_280,Shiny,Cloudy,Inflamed,Normal,Increased,Losing,Female
Dog_281,Shedding,Clear,Clean,High,Decreased,Gaining,Male
Dog_282,Shedding,Cloudy,Smelly,High,Normal,Gaining,Male
Dog_283,Shiny,Cloudy,Clean,Normal,Increased,Stable,Female
Dog_284,Coarse,Cloudy,Inflamed,High,Increased,Losing,Male
Dog_285,Shiny,Redness,Inflamed,High,Normal,Losing,Female
Dog_286,Coarse,Clear,Smelly,Low,Increased,Losing,Male
Dog_287,Smooth,Redness,Inflamed,Normal,Increased,Stable,Female
Dog_288,Smooth,Clear,Inflamed,Low,Increased,Gaining,Female
Dog_289,Smooth,Clear,Smelly,High,Decreased,Losing,Female
Dog_290,Shedding,Redness,Smelly,Normal,Increased,Losing,Male
Dog_291,Smooth,Cloudy,Clean,High,Normal,Stable,Male
Dog_292,Coarse,Cloudy,Smelly,High,Normal,Stable,Female
Dog_293,Smooth,Clear,Inflamed,Normal,Normal,Losing,Male
Dog_294,Shiny,Redness,Smelly,High,Increased,Losing,Female
Dog_295,Shiny,Cloudy,Inflamed,Low,Decreased,Stable,Female
Dog_296,Shedding,Cloudy,Clean,Normal,Increased,Stable,Female
Dog_297,Shiny,Clear,Smelly,High,Normal,Stable,Female
Dog_298,Coarse,Clear,Inflamed,High,Decreased,Stable,Male
Dog_299,Smooth,Redness,Smelly,High,Decreased,Gaining,Female
Dog_300,Shedding,Clear,Smelly,Normal,Increased,Gaining,Male
Dog_301,Smooth,Cloudy,Smelly,Low,Normal,Losing,Female
Dog_302,Smooth,Cloudy,Smelly,High,Increased,Gaining,Female
Dog_303,Coarse,Cloudy,Clean,High,Normal,Stable,Female
Dog_304,Shiny,Cloudy,Inflamed,High,Decreased,Losing,Female
Dog_305,Shiny,Redness,Smelly,Normal,Increased,Stable,Female
Dog_306,Smooth,Redness,Inflamed,High,Decreased,Gaining,Female
Dog_307,Shedding,Clear,Clean,High,Normal,Stable,Female
Dog_308,Shiny,Clear,Inflamed,High,Decreased,Losing,Male
Dog_309,Shedding,Clear,Inflamed,Normal,Decreased,Gaining,Male
Dog_310,Shiny,Redness,Clean,Low,Decreased,Losing,Male
Dog_311,Shedding,Cloudy,Smelly,Normal,Increased,Gaining,Male
Dog_312,Coarse,Clear,Inflamed,Low,Normal,Stable,Male
Dog_313,Shedding,Cloudy,Inflamed,Low,Decreased,Losing,Female
Dog_314,Coarse,Clear,Smelly,Normal,Decreased,Gaining,Female
Dog_315,Coarse,Clear,Smelly,High,Decreased,Gaining,Male
Dog_316,Shedding,Clear,Inflamed,Low,Decreased,Gaining,Female
Dog_317,Coarse,Clear,Clean,High,Normal,Gaining,Female
Dog_318,Smooth,Clear,Smelly,Low,Normal,Stable,Female
Dog_319,Coarse,Cloudy,Smelly,High,Increased,Stable,Male
Dog_320,Shiny,Clear,Clean,High,Normal,Gaining,Male
Dog_321,Shedding,Cloudy,Inflamed,Normal,Normal,Stable,Male
Dog_322,Smooth,Redness,Smelly,High,Decreased,Stable,Female
Dog_323,Shedding,Clear,Inflamed,Low,Increased,Gaining,Male
Dog_324,Shiny,Cloudy,Inflamed,High,Increased,Stable,Female
Dog_325,Shiny,Redness,Inflamed,High,Decreased,Losing,Female
Dog_326,Shiny,Redness,Clean,High,Increased,Losing,Female
Dog_327,Coarse,Redness,Inflamed,Low,Normal,Stable,Female
Dog_328,Coarse,Cloudy,Inflamed,Low,Increased,Gaining,Female
Dog_329,Shedding,Clear,Smelly,Low,Decreased,Losing,Male
Dog_330,Shedding,Clear,Smelly,High,Increased,Stable,Male
Dog_331,Smooth,Cloudy,Clean,Normal,Increased,Stable,Male
Dog_332,Smooth,Clear,Clean,Low,Increased,Gaining,Female
Dog_333,Shedding,Cloudy,Smelly,High,Decreased,Gaining,Male
Dog_334,Coarse,Clear,Smelly,Low,Normal,Stable,Male
Dog_335,Shiny,Redness,Clean,Normal,Increased,Gaining,Female
Dog_336,Shedding,Clear,Inflamed,High,Normal,Losing,Male
Dog_337,Smooth,Cloudy,Clean,Low,Normal,Losing,Female
Dog_338,Coarse,Cloudy,Inflamed,Low,Normal,Stable,Female
Dog_339,Shedding,Redness,Smelly,Normal,Increased,Stable,Female
Dog_340,Shedding,Cloudy,Smelly,Low,Normal,Gaining,Female
Dog_341,Coarse,Clear,Smelly,High,Increased,Losing,Male
Dog_342,Shedding,Clear,Inflamed,High,Increased,Gaining,Male
Dog_343,Coarse,Redness,Clean,Normal,Increased,Stable,Female
Dog_344,Shiny,Cloudy,Inflamed,Normal,Normal,Stable,Male
Dog_345,Coarse,Redness,Clean,Normal,Increased,Stable,Male
Dog_346,Coarse,Clear,Clean,High,Decreased,Stable,Female
Dog_347,Coarse,Redness,Clean,Normal,Decreased,Stable,Female
Dog_348,Shedding,Cloudy,Smelly,Low,Decreased,Stable,Female
Dog_349,Shedding,Redness,Clean,Low,Increased,Gaining,Male
Dog_350,Coarse,Cloudy,Smelly,High,Decreased,Gaining,Male
Dog_351,Shedding,Cloudy,Clean,Low,Increased,Gaining,Female
Dog_352,Smooth,Clear,Clean,Normal,Increased,Losing,Female
Dog_353,Smooth,Clear,Smelly,Low,Increased,Gaining,Female
Dog_354,Shedding,Clear,Smelly,Normal,Normal,Stable,Male
Dog_355,Shedding,Cloudy,Inflamed,Low,Decreased,Gaining,Female
Dog_356,Coarse,Redness,Clean,High,Increased,Gaining,Male
Dog_357,Shiny,Cloudy,Smelly,Normal,Decreased,Losing,Female
Dog_358,Shedding,Clear,Inflamed,Low,Decreased,Stable,Male
Dog_359,Smooth,Clear,Inflamed,High,Normal,Losing,Male
Dog_360,Coarse,Redness,Smelly,Low,Decreased,Losing,Female
Dog_361,Shedding,Clear,Clean,High,Increased,Losing,Male
Dog_362,Smooth,Clear,Inflamed,Low,Increased,Gaining,Male
Dog_363,Smooth,Clear,Clean,Normal,Decreased,Stable,Male
Dog_364,Shiny,Redness,Clean,Normal,Decreased,Stable,Female
Dog_365,Coarse,Cloudy,Inflamed,Normal,Normal,Losing,Male
Dog_366,Coarse,Clear,Smelly,Normal,Increased,Stable,Male
Dog_367,Shiny,Redness,Clean,Normal,Decreased,Stable,Male
Dog_368,Shiny,Clear,Smelly,Low,Decreased,Losing,Female
Dog_369,Coarse,Redness,Inflamed,Low,Increased,Gaining,Female
Dog_370,Coarse,Clear,Clean,Low,Decreased,Losing,Female
Dog_371,Shedding,Redness,Smelly,Low,Normal,Losing,Male
Dog_372,Shedding,Clear,Smelly,Normal,Decreased,Gaining,Female
Dog_373,Shiny,Cloudy,Clean,High,Decreased,Gaining,Female
Dog_374,Shedding,Clear,Smelly,Normal,Normal,Gaining,Female
Dog_375,Smooth,Redness,Smelly,Low,Normal,Gaining,Female
Dog_376,Shedding,Clear,Inflamed,Normal,Normal,Losing,Male
Dog_377,Shedding,Cloudy,Inflamed,Normal,Increased,Gaining,Female
Dog_378,Smooth,Clear,Smelly,Normal,Decreased,Stable,Female
Dog_379,Shiny,Redness,Smelly,High,Decreased,Losing,Female
Dog_380,Smooth,Redness,Clean,Normal,Normal,Losing,Female
Dog_381,Shedding,Cloudy,Inflamed,Normal,Increased,Gaining,Male
Dog_382,Shiny,Redness,Clean,High,Normal,Gaining,Male
Dog_383,Shedding,Clear,Smelly,Normal,Decreased,Stable,Female
Dog_384,Smooth,Clear,Clean,Normal,Increased,Gaining,Male
Dog_385,Smooth,Clear,Smelly,Normal,Increased,Losing,Male
Dog_386,Shedding,Redness,Inflamed,Normal,Decreased,Gaining,Female
Dog_387,Coarse,Clear,Inflamed,Normal,Increased,Stable,Male
Dog_388,Coarse,Clear,Smelly,Low,Increased,Losing,Female
Dog_389,Smooth,Clear,Inflamed,Normal,Normal,Losing,Male
Dog_390,Smooth,Cloudy,Smelly,High,Increased,Gaining,Female
Dog_391,Coarse,Redness,Clean,Normal,Normal,Stable,Male
Dog_392,Coarse,Redness,Smelly,Low,Increased,Stable,Male
Dog_393,Shedding,Redness,Clean,High,Normal,Gaining,Female
